n_points,method,mae,rmse
10,lagrange,1.0499719930069364,1.776177716070663
10,newton,1.049971993006924,1.7761777160706425
10,spline,0.36738569871283794,0.44318990508770995
11,lagrange,1.147236868136152,2.19109049813015
11,newton,1.1472368681361402,2.191090498130116
11,spline,0.32372977722862106,0.3917920883565023
12,lagrange,2.212893052150201,4.491606243811154
12,newton,2.212893052150136,4.491606243810992
12,spline,0.27158560781290647,0.32896477112531336
13,lagrange,2.6403168556484378,5.995645530864748
13,newton,2.640316855648376,5.9956455308646035
13,spline,0.2454108668189206,0.30397914540552373
14,lagrange,3.60314595883605,9.15450745515519
14,newton,3.6031459588360106,9.15450745515505
14,spline,0.22829275547187827,0.27851451076600203
16,lagrange,3.964489664980515,11.716319570592242
16,newton,3.964489664980387,11.716319570592017
16,spline,0.19640956312252797,0.23220226057852478
17,lagrange,6.890393003527731,20.261544576198368
17,newton,6.890393003526665,20.261544576194837
17,spline,0.1920544607603979,0.21988410335989328
18,lagrange,6.310281024119666,20.85313295467248
18,newton,6.310281024119855,20.85313295466985
18,spline,0.16208668171139806,0.186419857919099
19,lagrange,37.773732622611185,120.00497901848043
19,newton,37.77373262261732,120.00497901849724
19,spline,0.16081484269733243,0.1846981117899101
20,lagrange,17.967183528686792,60.62631284548528
20,newton,17.967183528696623,60.62631284553653
20,spline,0.16675941897994226,0.18717106627633215
